date,symbol,expiry,strike,option_type,open,high,low,close,settle_price,underlying_price,open_interest,oi_change,volume
2024-12-02,NIFTY,2024-12-05,22350.0,CE,0.0,0.0,0.0,2257.05,1938.45,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-01-30,21950.0,CE,0.0,0.0,0.0,2712.5,2574.5,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-01-02,21950.0,PE,0.0,0.0,0.0,58.4,1.15,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2024-12-26,22350.0,CE,0.0,0.0,0.0,1364.95,2026.85,24276.05,100.0,0.0,0.0
2024-12-02,NIFTY,2024-12-19,21950.0,CE,0.0,0.0,0.0,1749.1,2395.0,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2024-12-05,21950.0,PE,1.1,1.25,0.9,1.1,1.1,24276.05,112375.0,63350.0,36804.0
2024-12-02,NIFTY,2025-01-02,21950.0,CE,0.0,0.0,0.0,1641.9,2452.65,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2024-12-12,22350.0,CE,0.0,0.0,0.0,2024.95,1967.35,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-01-02,22350.0,PE,0.0,0.0,0.0,113.5,4.5,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2024-12-26,21950.0,PE,13.2,14.0,11.45,11.6,11.6,24276.05,10475.0,-375.0,347.0
2024-12-02,NIFTY,2024-12-05,22350.0,PE,1.35,1.55,1.05,1.35,1.35,24276.05,456650.0,19075.0,119187.0
2024-12-02,NIFTY,2025-01-30,22350.0,CE,0.0,0.0,0.0,2358.95,2192.5,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-01-30,21950.0,PE,0.0,0.0,0.0,62.35,10.3,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2024-12-12,22350.0,PE,5.15,5.15,3.1,3.8,3.8,24276.05,14300.0,2850.0,1804.0
2024-12-02,NIFTY,2024-12-05,21950.0,CE,0.0,0.0,0.0,2641.45,2338.2,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-02-27,22350.0,CE,0.0,0.0,0.0,2111.35,2331.45,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2024-12-12,22300.0,CE,0.0,0.0,0.0,2072.45,2017.25,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2024-12-05,22450.0,PE,1.7,1.75,1.15,1.5,1.5,24276.05,224600.0,70150.0,90007.0
2024-12-02,NIFTY,2025-02-27,22450.0,CE,0.0,0.0,0.0,2029.3,2240.95,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-01-30,22450.0,CE,0.0,0.0,0.0,2129.75,2098.75,24276.05,25.0,0.0,0.0
2024-12-02,NIFTY,2025-02-27,22300.0,PE,0.0,0.0,0.0,136.5,45.1,24276.05,0.0,0.0,0.0
